Date,China,United States,Brazil,Belgium,France,Netherlands,Portugal,Spain,Sweden,Norway,Turkey,Argentina,Canada,Chile,Colombia,Mexico,Indonesia,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Czechia,Germany,Italy,Poland,Romania,United Kingdom,Kazakhstan,Russia,Ukraine,Uzbekistan,Venezuela,Japan
1990-01-11,876.33,1910.076,141.129,48.003,217.009,67.003,17.004,90.017,47.0,21.008,51.059,44.022,211.1,14.012,24.018,124.029,99.132,21.066,94.138,48.045,42.052,306.822,86.023,14.007,22.019,33.04,66.086,90.033,49.987,350.947,146.992,102.996,61.973,205.964,72.997,878.753,251.801,46.998,39.993,439.941
1990-01-12,876.55,1910.078,141.145,48.003,217.009,67.003,17.004,90.018,47.0,21.008,51.066,44.023,211.108,14.012,24.026,124.029,99.134,21.068,94.147,48.054,42.058,306.831,86.028,14.008,22.02,33.045,66.096,90.034,49.987,350.946,146.992,102.996,61.97,205.962,72.996,878.731,251.8,46.997,39.993,439.938
1990-01-13,876.576,1910.085,141.153,48.003,217.009,67.003,17.005,90.02,47.0,21.009,51.087,44.025,211.115,14.013,24.028,124.031,99.134,21.08,94.177,48.055,42.064,306.853,86.031,14.008,22.021,33.046,66.099,90.038,49.987,350.94,146.991,102.995,61.969,205.962,72.995,878.707,251.785,46.997,39.992,439.933
1990-01-14,876.75,1910.085,141.156,48.003,217.01,67.003,17.005,90.02,47.0,21.009,51.096,44.026,211.121,14.014,24.028,124.032,99.143,21.081,94.198,48.055,42.072,306.889,86.036,14.01,22.022,33.051,66.111,90.038,49.986,350.922,146.99,102.994,61.967,205.951,72.995,878.681,251.779,46.997,39.991,439.93
1990-01-15,876.765,1910.1,141.185,48.004,217.01,67.004,17.006,90.024,47.0,21.01,51.097,44.026,211.132,14.016,24.029,124.034,99.145,21.082,94.199,48.061,42.084,306.917,86.038,14.012,22.024,33.055,66.124,90.045,49.983,350.918,146.99,102.994,61.966,205.944,72.994,878.659,251.778,46.996,39.991,439.923
1990-01-16,876.863,1910.137,141.189,48.004,217.011,67.004,17.007,90.025,47.0,21.01,51.101,44.027,211.132,14.016,24.03,124.039,99.146,21.085,94.217,48.064,42.087,306.928,86.039,14.012,22.034,33.056,66.125,90.046,49.983,350.918,146.988,102.994,61.966,205.943,72.994,878.656,251.77,46.996,39.99,439.919
1990-01-17,876.873,1910.146,141.212,48.004,217.011,67.004,17.007,90.025,47.0,21.011,51.101,44.032,211.142,14.017,24.032,124.039,99.146,21.089,94.255,48.065,42.087,306.937,86.048,14.013,22.037,33.056,66.128,90.046,49.982,350.91,146.988,102.992,61.964,205.936,72.994,878.643,251.762,46.996,39.989,439.918
1990-01-18,877.231,1910.146,141.222,48.004,217.011,67.004,17.007,90.028,47.0,21.011,51.127,44.034,211.15,14.017,24.034,124.046,99.151,21.101,94.274,48.071,42.089,306.974,86.055,14.013,22.04,33.069,66.13,90.055,49.982,350.899,146.988,102.991,61.962,205.933,72.994,878.572,251.758,46.996,39.989,439.913
1990-01-19,877.245,1910.149,141.257,48.005,217.012,67.005,17.007,90.029,47.0,21.012,51.128,44.039,211.151,14.019,24.034,124.047,99.171,21.12,94.287,48.073,42.097,306.977,86.056,14.014,22.045,33.07,66.133,90.064,49.98,350.893,146.987,102.99,61.957,205.923,72.993,878.57,251.751,46.996,39.986,439.907
1990-01-20,877.556,1910.155,141.275,48.005,217.012,67.005,17.008,90.03,47.0,21.012,51.137,44.04,211.157,14.025,24.035,124.05,99.201,21.125,94.324,48.075,42.097,307.056,86.064,14.014,22.047,33.08,66.134,90.065,49.978,350.892,146.986,102.989,61.951,205.92,72.993,878.56,251.689,46.995,39.985,439.902
1990-01-21,877.621,1910.156,141.292,48.005,217.014,67.005,17.008,90.031,47.0,21.012,51.141,44.043,211.166,14.025,24.036,124.051,99.228,21.129,94.335,48.075,42.111,307.176,86.065,14.014,22.053,33.083,66.148,90.066,49.977,350.869,146.985,102.989,61.95,205.915,72.993,878.558,251.6,46.995,39.985,439.899
1990-01-22,877.749,1910.158,141.297,48.005,217.016,67.005,17.008,90.032,47.0,21.012,51.174,44.046,211.166,14.027,24.036,124.054,99.256,21.129,94.356,48.075,42.113,307.182,86.069,14.015,22.06,33.092,66.163,90.067,49.977,350.866,146.984,102.989,61.947,205.909,72.993,878.555,251.593,46.995,39.985,439.899
1990-01-23,877.926,1910.169,141.305,48.006,217.016,67.006,17.008,90.032,47.0,21.013,51.178,44.048,211.184,14.028,24.038,124.055,99.289,21.131,94.376,48.076,42.128,307.213,86.069,14.015,22.061,33.093,66.184,90.068,49.975,350.866,146.983,102.988,61.946,205.904,72.992,878.513,251.591,46.994,39.984,439.899
1990-01-24,878.117,1910.199,141.353,48.006,217.016,67.006,17.009,90.032,47.0,21.013,51.19,44.048,211.189,14.029,24.04,124.056,99.291,21.147,94.378,48.077,42.136,307.225,86.07,14.015,22.067,33.101,66.192,90.074,49.975,350.866,146.983,102.988,61.945,205.903,72.992,878.492,251.586,46.994,39.984,439.895
1990-01-25,878.824,1910.207,141.359,48.006,217.016,67.006,17.009,90.033,47.0,21.014,51.194,44.049,211.191,14.033,24.042,124.062,99.303,21.147,94.39,48.078,42.137,307.251,86.072,14.015,22.075,33.103,66.213,90.075,49.974,350.865,146.983,102.988,61.944,205.883,72.992,878.488,251.568,46.994,39.983,439.889
1990-01-26,878.889,1910.208,141.366,48.006,217.017,67.006,17.009,90.034,47.0,21.014,51.223,44.05,211.194,14.036,24.046,124.064,99.307,21.158,94.429,48.081,42.152,307.322,86.079,14.016,22.075,33.109,66.222,90.088,49.969,350.858,146.982,102.987,61.944,205.876,72.991,878.475,251.549,46.992,39.983,439.88
1990-01-27,878.896,1910.235,141.386,48.007,217.017,67.007,17.01,90.034,47.0,21.015,51.231,44.053,211.195,14.039,24.046,124.066,99.319,21.159,94.44,48.084,42.162,307.346,86.083,14.016,22.076,33.111,66.225,90.092,49.969,350.847,146.981,102.987,61.943,205.875,72.991,878.474,251.542,46.992,39.982,439.878
1990-01-28,878.961,1910.235,141.393,48.007,217.018,67.007,17.01,90.034,47.0,21.016,51.233,44.053,211.196,14.045,24.049,124.069,99.327,21.163,94.441,48.089,42.179,307.372,86.087,14.016,22.081,33.112,66.227,90.092,49.967,350.843,146.981,102.986,61.942,205.873,72.991,878.474,251.542,46.991,39.979,439.87
1990-01-29,879.165,1910.242,141.395,48.007,217.018,67.008,17.01,90.037,47.0,21.016,51.246,44.053,211.198,14.047,24.049,124.071,99.364,21.171,94.457,48.089,42.195,307.413,86.087,14.016,22.083,33.112,66.231,90.093,49.964,350.839,146.981,102.986,61.942,205.871,72.991,878.452,251.503,46.991,39.978,439.863
1990-01-30,879.877,1910.269,141.4,48.007,217.018,67.008,17.01,90.043,47.0,21.016,51.247,44.055,211.221,14.05,24.05,124.074,99.374,21.18,94.463,48.089,42.205,307.448,86.089,14.017,22.083,33.112,66.253,90.097,49.961,350.833,146.981,102.986,61.941,205.867,72.99,878.441,251.458,46.991,39.977,439.859
1990-01-31,880.009,1910.272,141.491,48.007,217.02,67.008,17.011,90.043,47.0,21.017,51.248,44.056,211.223,14.052,24.051,124.074,99.389,21.184,94.475,48.093,42.208,307.517,86.089,14.018,22.086,33.117,66.256,90.099,49.96,350.831,146.977,102.984,61.941,205.866,72.99,878.438,251.451,46.99,39.975,439.854
1990-02-01,880.574,1910.277,141.494,48.007,217.022,67.008,17.011,90.043,47.0,21.017,51.258,44.057,211.227,14.053,24.051,124.082,99.394,21.188,94.493,48.093,42.217,307.521,86.093,14.018,22.088,33.125,66.261,90.103,49.959,350.81,146.977,102.983,61.941,205.86,72.989,878.401,251.449,46.99,39.975,439.852
1990-02-02,880.88,1910.299,141.506,48.008,217.023,67.008,17.011,90.048,47.0,21.018,51.264,44.059,211.238,14.053,24.052,124.082,99.403,21.192,94.502,48.101,42.219,307.592,86.098,14.018,22.093,33.128,66.274,90.107,49.959,350.798,146.974,102.983,61.937,205.859,72.989,878.391,251.415,46.99,39.972,439.844
1990-02-03,880.884,1910.299,141.534,48.008,217.024,67.009,17.011,90.051,47.0,21.019,51.266,44.064,211.243,14.054,24.052,124.083,99.415,21.196,94.543,48.104,42.224,307.647,86.108,14.019,22.097,33.131,66.282,90.109,49.958,350.791,146.974,102.983,61.935,205.859,72.988,878.389,251.413,46.99,39.972,439.838
1990-02-04,880.935,1910.3,141.538,48.008,217.024,67.009,17.011,90.052,47.0,21.019,51.266,44.068,211.25,14.06,24.054,124.083,99.418,21.197,94.573,48.111,42.234,307.758,86.11,14.019,22.1,33.131,66.287,90.109,49.958,350.788,146.973,102.983,61.932,205.855,72.988,878.369,251.393,46.99,39.971,439.818
1990-02-05,881.022,1910.303,141.549,48.008,217.024,67.009,17.012,90.052,47.0,21.02,51.268,44.069,211.258,14.061,24.055,124.091,99.419,21.199,94.583,48.111,42.234,307.774,86.111,14.02,22.104,33.132,66.296,90.112,49.957,350.783,146.973,102.982,61.93,205.84,72.988,878.367,251.382,46.989,39.97,439.794
1990-02-06,881.471,1910.309,141.558,48.009,217.025,67.009,17.012,90.055,47.0,21.02,51.27,44.07,211.269,14.063,24.059,124.094,99.435,21.215,94.628,48.113,42.241,307.803,86.113,14.021,22.109,33.137,66.305,90.113,49.954,350.78,146.972,102.981,61.93,205.837,72.987,878.362,251.359,46.989,39.969,439.784
1990-02-07,882.041,1910.322,141.585,48.009,217.026,67.009,17.012,90.055,47.0,21.02,51.276,44.072,211.27,14.063,24.06,124.098,99.437,21.218,94.652,48.119,42.245,307.892,86.113,14.022,22.109,33.142,66.307,90.113,49.954,350.778,146.972,102.98,61.925,205.837,72.987,878.359,251.346,46.989,39.967,439.777
1990-02-08,882.276,1910.341,141.594,48.01,217.026,67.009,17.012,90.056,47.0,21.022,51.28,44.073,211.27,14.065,24.061,124.102,99.442,21.222,94.654,48.119,42.246,307.9,86.117,14.022,22.111,33.143,66.308,90.114,49.953,350.776,146.971,102.979,61.923,205.836,72.987,878.349,251.343,46.988,39.966,439.775
1990-02-09,882.283,1910.342,141.598,48.01,217.026,67.01,17.012,90.058,47.0,21.022,51.284,44.076,211.277,14.069,24.061,124.107,99.471,21.229,94.699,48.12,42.248,307.93,86.121,14.023,22.111,33.153,66.308,90.114,49.953,350.767,146.971,102.979,61.918,205.835,72.987,878.323,251.34,46.988,39.965,439.773
1990-02-10,882.449,1910.347,141.622,48.01,217.026,67.01,17.012,90.058,47.0,21.023,51.316,44.077,211.279,14.07,24.062,124.11,99.477,21.234,94.712,48.125,42.251,308.069,86.123,14.023,22.118,33.155,66.315,90.116,49.952,350.766,146.97,102.978,61.918,205.824,72.987,878.285,251.323,46.988,39.964,439.767
1990-02-11,882.53,1910.384,141.651,48.01,217.026,67.011,17.012,90.06,47.0,21.023,51.317,44.079,211.283,14.072,24.064,124.112,99.479,21.236,94.735,48.126,42.251,308.262,86.129,14.024,22.121,33.158,66.33,90.116,49.952,350.759,146.97,102.978,61.915,205.818,72.987,878.28,251.264,46.988,39.964,439.751
1990-02-12,882.541,1910.384,141.664,48.01,217.027,67.012,17.012,90.062,47.0,21.024,51.32,44.082,211.285,14.074,24.064,124.112,99.481,21.237,94.752,48.135,42.254,308.267,86.139,14.024,22.123,33.162,66.348,90.127,49.952,350.74,146.969,102.977,61.913,205.817,72.987,878.277,251.262,46.988,39.964,439.745
1990-02-13,882.608,1910.387,141.669,48.01,217.027,67.012,17.013,90.063,47.0,21.024,51.334,44.085,211.296,14.074,24.067,124.12,99.486,21.241,94.767,48.141,42.258,308.269,86.141,14.024,22.124,33.162,66.374,90.13,49.951,350.724,146.969,102.977,61.905,205.815,72.986,878.276,251.25,46.988,39.962,439.741
1990-02-14,882.715,1910.387,141.671,48.011,217.027,67.012,17.013,90.063,47.0,21.025,51.352,44.086,211.297,14.076,24.07,124.123,99.493,21.243,94.784,48.142,42.276,308.272,86.141,14.024,22.125,33.163,66.374,90.131,49.951,350.72,146.968,102.977,61.904,205.813,72.986,878.253,251.249,46.988,39.961,439.739
1990-02-15,882.91,1910.387,141.672,48.011,217.027,67.013,17.013,90.063,47.0,21.026,51.373,44.086,211.308,14.077,24.071,124.124,99.503,21.275,94.799,48.144,42.279,308.301,86.143,14.024,22.127,33.164,66.383,90.135,49.95,350.715,146.966,102.976,61.902,205.813,72.986,878.251,251.243,46.987,39.96,439.73
1990-02-16,883.008,1910.389,141.684,48.011,217.028,67.013,17.014,90.063,47.0,21.026,51.374,44.089,211.323,14.078,24.074,124.125,99.511,21.276,94.807,48.155,42.293,308.338,86.154,14.027,22.131,33.166,66.385,90.141,49.95,350.712,146.965,102.974,61.9,205.806,72.986,878.217,251.213,46.987,39.959,439.719
1990-02-17,883.324,1910.403,141.689,48.011,217.028,67.013,17.014,90.066,47.0,21.026,51.382,44.09,211.328,14.078,24.074,124.126,99.513,21.29,94.822,48.158,42.302,308.363,86.156,14.028,22.141,33.177,66.397,90.141,49.95,350.703,146.965,102.974,61.9,205.801,72.986,878.192,251.209,46.986,39.959,439.718
1990-02-18,883.717,1910.413,141.697,48.012,217.028,67.013,17.014,90.069,47.0,21.026,51.401,44.093,211.332,14.078,24.075,124.135,99.52,21.302,94.889,48.159,42.306,308.369,86.158,14.028,22.141,33.188,66.412,90.141,49.95,350.701,146.964,102.973,61.898,205.8,72.985,878.19,251.204,46.986,39.959,439.711
1990-02-19,883.75,1910.438,141.704,48.012,217.029,67.015,17.015,90.07,47.0,21.027,51.405,44.095,211.341,14.079,24.075,124.143,99.531,21.303,94.91,48.168,42.306,308.4,86.159,14.028,22.141,33.192,66.417,90.141,49.949,350.697,146.964,102.973,61.895,205.799,72.985,878.184,251.163,46.986,39.958,439.71
1990-02-20,883.867,1910.451,141.718,48.013,217.03,67.015,17.015,90.073,47.0,21.027,51.406,44.096,211.345,14.083,24.078,124.145,99.592,21.317,94.922,48.169,42.314,308.482,86.165,14.029,22.147,33.193,66.418,90.142,49.949,350.691,146.963,102.973,61.889,205.798,72.984,878.175,251.115,46.986,39.957,439.699
1990-02-21,883.947,1910.488,141.736,48.014,217.032,67.015,17.015,90.073,47.0,21.027,51.406,44.099,211.345,14.088,24.08,124.154,99.603,21.324,94.942,48.174,42.316,308.555,86.167,14.03,22.147,33.213,66.437,90.146,49.949,350.683,146.963,102.972,61.885,205.795,72.984,878.169,251.114,46.986,39.956,439.682
1990-02-22,883.972,1910.514,141.769,48.014,217.033,67.016,17.016,90.074,47.0,21.028,51.407,44.108,211.351,14.094,24.083,124.154,99.605,21.327,94.942,48.176,42.319,308.614,86.169,14.032,22.151,33.221,66.444,90.147,49.948,350.682,146.963,102.972,61.884,205.795,72.984,878.166,251.094,46.986,39.955,439.682
1990-02-23,884.233,1910.514,141.801,48.015,217.033,67.016,17.016,90.074,47.0,21.029,51.414,44.108,211.352,14.096,24.084,124.154,99.608,21.354,94.975,48.177,42.327,308.638,86.17,14.034,22.17,33.222,66.444,90.148,49.948,350.665,146.959,102.972,61.88,205.794,72.983,878.159,251.093,46.986,39.955,439.681
1990-02-24,884.286,1910.53,141.802,48.016,217.035,67.016,17.016,90.075,47.0,21.029,51.416,44.108,211.353,14.098,24.084,124.155,99.629,21.366,95.028,48.181,42.329,308.769,86.175,14.034,22.178,33.23,66.449,90.149,49.947,350.661,146.959,102.972,61.879,205.789,72.983,878.157,251.08,46.985,39.954,439.681
1990-02-25,884.478,1910.58,141.813,48.016,217.035,67.016,17.017,90.076,47.0,21.03,51.426,44.11,211.361,14.102,24.085,124.156,99.644,21.368,95.055,48.195,42.33,308.804,86.179,14.035,22.181,33.236,66.456,90.151,49.947,350.653,146.959,102.972,61.878,205.788,72.982,878.14,251.068,46.985,39.952,439.681
1990-02-26,884.485,1910.606,141.817,48.016,217.036,67.017,17.017,90.078,47.0,21.03,51.433,44.111,211.372,14.106,24.087,124.158,99.647,21.369,95.073,48.202,42.336,308.809,86.185,14.036,22.183,33.236,66.458,90.152,49.945,350.646,146.959,102.971,61.873,205.772,72.982,878.109,251.064,46.985,39.951,439.679
1990-02-27,884.529,1910.609,141.827,48.017,217.036,67.017,17.017,90.08,47.0,21.03,51.44,44.113,211.383,14.109,24.087,124.161,99.656,21.372,95.077,48.203,42.338,308.876,86.186,14.036,22.185,33.237,66.473,90.155,49.945,350.645,146.958,102.97,61.865,205.772,72.981,878.105,251.061,46.985,39.951,439.66
1990-02-28,884.795,1910.622,141.842,48.017,217.037,67.017,17.018,90.08,47.0,21.03,51.444,44.114,211.385,14.114,24.087,124.161,99.676,21.376,95.081,48.205,42.359,308.995,86.186,14.036,22.19,33.242,66.473,90.155,49.945,350.642,146.956,102.969,61.863,205.77,72.981,878.065,251.049,46.984,39.95,439.658
1990-03-01,884.832,1910.626,141.867,48.017,217.037,67.017,17.018,90.084,47.0,21.031,51.455,44.115,211.386,14.114,24.09,124.162,99.685,21.377,95.089,48.212,42.391,309.015,86.188,14.036,22.194,33.244,66.474,90.158,49.944,350.633,146.956,102.967,61.863,205.769,72.98,878.065,251.047,46.984,39.949,439.648
1990-03-02,885.229,1910.627,141.877,48.018,217.038,67.017,17.018,90.084,47.0,21.033,51.455,44.116,211.388,14.116,24.091,124.164,99.732,21.389,95.119,48.213,42.405,309.016,86.196,14.037,22.199,33.247,66.478,90.16,49.944,350.63,146.956,102.967,61.861,205.765,72.98,878.059,251.038,46.984,39.949,439.639
1990-03-03,885.246,1910.644,141.891,48.018,217.038,67.017,17.018,90.086,47.0,21.033,51.458,44.118,211.4,14.118,24.092,124.165,99.733,21.39,95.139,48.216,42.412,309.029,86.201,14.038,22.203,33.275,66.482,90.165,49.944,350.625,146.956,102.966,61.857,205.761,72.98,878.048,251.002,46.983,39.949,439.639
1990-03-04,885.311,1910.648,141.924,48.019,217.038,67.018,17.02,90.086,47.0,21.033,51.458,44.12,211.409,14.119,24.093,124.167,99.737,21.397,95.157,48.223,42.423,309.073,86.214,14.039,22.204,33.279,66.485,90.168,49.944,350.623,146.955,102.965,61.854,205.757,72.98,878.042,251.0,46.983,39.948,439.631
1990-03-05,885.401,1910.654,141.975,48.019,217.041,67.018,17.02,90.088,47.0,21.034,51.472,44.123,211.417,14.119,24.093,124.173,99.742,21.404,95.17,48.226,42.428,309.095,86.214,14.04,22.205,33.285,66.493,90.17,49.943,350.601,146.954,102.964,61.851,205.756,72.979,878.031,250.985,46.982,39.947,439.631
1990-03-06,885.938,1910.681,141.993,48.019,217.042,67.018,17.02,90.089,47.0,21.034,51.488,44.133,211.428,14.121,24.095,124.176,99.747,21.421,95.173,48.228,42.453,309.129,86.216,14.041,22.206,33.289,66.495,90.171,49.942,350.598,146.954,102.963,61.843,205.746,72.979,878.03,250.981,46.982,39.947,439.621
1990-03-07,886.082,1910.69,142.012,48.019,217.042,67.018,17.021,90.09,47.0,21.034,51.508,44.134,211.428,14.123,24.097,124.179,99.754,21.427,95.199,48.233,42.457,309.139,86.218,14.042,22.211,33.3,66.503,90.18,49.941,350.597,146.953,102.962,61.839,205.742,72.979,878.014,250.98,46.982,39.943,439.608
1990-03-08,886.083,1910.718,142.025,48.019,217.043,67.019,17.021,90.092,47.0,21.035,51.513,44.134,211.432,14.131,24.097,124.181,99.759,21.43,95.21,48.242,42.478,309.141,86.226,14.042,22.213,33.304,66.508,90.18,49.94,350.588,146.952,102.962,61.838,205.736,72.979,878.007,250.975,46.982,39.942,439.598
1990-03-09,886.161,1910.72,142.033,48.019,217.043,67.019,17.021,90.092,47.0,21.035,51.52,44.136,211.448,14.131,24.098,124.183,99.76,21.434,95.227,48.243,42.484,309.187,86.234,14.043,22.216,33.311,66.509,90.189,49.94,350.585,146.95,102.961,61.83,205.733,72.978,877.992,250.953,46.982,39.941,439.596
1990-03-10,886.371,1910.724,142.083,48.02,217.043,67.019,17.021,90.093,47.0,21.036,51.531,44.138,211.457,14.132,24.101,124.183,99.762,21.437,95.255,48.266,42.494,309.189,86.238,14.043,22.216,33.317,66.523,90.195,49.94,350.566,146.95,102.961,61.829,205.73,72.978,877.979,250.945,46.982,39.941,439.591
1990-03-11,886.404,1910.763,142.085,48.02,217.044,67.02,17.022,90.094,47.0,21.036,51.547,44.141,211.46,14.133,24.101,124.183,99.771,21.439,95.257,48.269,42.506,309.207,86.24,14.045,22.217,33.323,66.528,90.198,49.939,350.559,146.948,102.961,61.826,205.729,72.977,877.958,250.94,46.982,39.94,439.583
1990-03-12,886.496,1910.779,142.086,48.02,217.044,67.02,17.022,90.096,47.0,21.037,51.551,44.142,211.467,14.133,24.105,124.184,99.793,21.451,95.27,48.275,42.526,309.216,86.246,14.047,22.219,33.323,66.533,90.2,49.937,350.539,146.947,102.961,61.825,205.729,72.977,877.954,250.921,46.982,39.939,439.576
1990-03-13,886.707,1910.783,142.086,48.02,217.044,67.02,17.022,90.096,47.0,21.039,51.558,44.144,211.47,14.135,24.105,124.187,99.797,21.455,95.286,48.278,42.535,309.245,86.248,14.048,22.221,33.339,66.537,90.204,49.937,350.534,146.946,102.961,61.823,205.715,72.976,877.95,250.901,46.981,39.935,439.564
1990-03-14,886.834,1910.785,142.115,48.02,217.045,67.02,17.023,90.097,47.0,21.039,51.566,44.151,211.471,14.138,24.106,124.188,99.8,21.456,95.29,48.282,42.538,309.305,86.249,14.048,22.229,33.339,66.573,90.204,49.937,350.528,146.945,102.961,61.819,205.713,72.976,877.922,250.899,46.981,39.934,439.558
1990-03-15,887.217,1910.798,142.116,48.02,217.046,67.021,17.023,90.097,47.0,21.039,51.574,44.151,211.475,14.142,24.107,124.19,99.802,21.464,95.321,48.286,42.547,309.327,86.251,14.049,22.23,33.34,66.589,90.208,49.937,350.525,146.944,102.96,61.817,205.711,72.976,877.895,250.898,46.981,39.934,439.553
1990-03-16,887.225,1910.799,142.119,48.02,217.047,67.021,17.024,90.098,47.0,21.04,51.584,44.152,211.477,14.142,24.11,124.19,99.836,21.488,95.327,48.297,42.547,309.338,86.255,14.05,22.232,33.344,66.591,90.209,49.936,350.522,146.944,102.96,61.816,205.709,72.975,877.877,250.877,46.981,39.933,439.543
1990-03-17,887.307,1910.812,142.121,48.021,217.047,67.021,17.024,90.1,47.0,21.04,51.601,44.153,211.484,14.144,24.111,124.195,99.851,21.493,95.328,48.298,42.551,309.348,86.258,14.05,22.235,33.345,66.598,90.212,49.934,350.509,146.944,102.96,61.809,205.704,72.975,877.841,250.873,46.981,39.933,439.541
1990-03-18,887.376,1910.818,142.123,48.021,217.047,67.021,17.024,90.102,47.0,21.04,51.614,44.155,211.515,14.145,24.112,124.198,99.859,21.493,95.37,48.301,42.565,309.393,86.259,14.051,22.236,33.35,66.614,90.213,49.932,350.491,146.943,102.96,61.806,205.704,72.975,877.833,250.872,46.981,39.931,439.539
1990-03-19,887.461,1910.819,142.136,48.022,217.051,67.021,17.024,90.102,47.0,21.04,51.615,44.156,211.519,14.148,24.113,124.203,99.867,21.496,95.374,48.302,42.568,309.441,86.268,14.051,22.24,33.357,66.623,90.217,49.931,350.489,146.943,102.959,61.806,205.7,72.975,877.828,250.852,46.981,39.931,439.531
1990-03-20,887.461,1910.842,142.165,48.022,217.052,67.022,17.024,90.104,47.0,21.041,51.616,44.158,211.524,14.148,24.113,124.203,99.933,21.503,95.38,48.308,42.569,309.558,86.268,14.052,22.24,33.367,66.625,90.219,49.931,350.483,146.942,102.957,61.803,205.7,72.974,877.819,250.804,46.98,39.93,439.531
1990-03-21,887.689,1910.845,142.168,48.022,217.053,67.022,17.024,90.105,47.0,21.042,51.62,44.159,211.536,14.148,24.114,124.206,99.936,21.511,95.42,48.315,42.574,309.693,86.272,14.052,22.244,33.368,66.632,90.223,49.931,350.469,146.942,102.956,61.797,205.698,72.974,877.818,250.793,46.98,39.929,439.531
