Date,China,United States,Brazil,Belgium,France,Netherlands,Portugal,Spain,Sweden,Norway,Turkey,Argentina,Canada,Chile,Colombia,Mexico,Indonesia,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Czechia,Germany,Italy,Poland,Romania,United Kingdom,Kazakhstan,Russia,Ukraine,Uzbekistan,Venezuela,Japan,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990-01-12,877.399,1910.137,141.158,48.003,217.009,67.004,17.003,90.021,47.0,21.007,51.075,44.031,211.089,14.021,24.018,124.031,99.16,21.078,94.224,48.035,42.102,306.904,86.034,14.009,22.053,33.079,66.085,90.021,49.987,350.94,146.987,102.995,61.956,205.934,72.998,878.812,251.772,46.996,39.98,439.915,69.122,9.019,58.176,20.057
1990-01-13,877.439,1910.146,141.175,48.003,217.01,67.004,17.003,90.021,47.0,21.009,51.077,44.033,211.092,14.025,24.018,124.032,99.171,21.105,94.249,48.044,42.106,306.918,86.035,14.01,22.055,33.084,66.092,90.023,49.986,350.94,146.987,102.994,61.955,205.928,72.997,878.797,251.772,46.995,39.979,439.904,69.155,9.024,58.207,20.057
1990-01-14,877.551,1910.149,141.178,48.004,217.01,67.004,17.003,90.022,47.0,21.009,51.085,44.034,211.094,14.027,24.02,124.034,99.18,21.108,94.297,48.045,42.116,307.015,86.048,14.01,22.056,33.093,66.108,90.026,49.985,350.934,146.987,102.994,61.953,205.916,72.997,878.793,251.765,46.995,39.979,439.903,69.198,9.028,58.209,20.058
1990-01-15,877.919,1910.153,141.197,48.004,217.011,67.004,17.003,90.022,47.0,21.01,51.087,44.036,211.097,14.029,24.022,124.036,99.191,21.111,94.325,48.047,42.131,307.045,86.056,14.011,22.064,33.107,66.141,90.035,49.983,350.932,146.986,102.994,61.952,205.916,72.996,878.767,251.763,46.994,39.975,439.893,69.212,9.028,58.217,20.065
1990-01-16,878.004,1910.154,141.197,48.004,217.014,67.004,17.004,90.029,47.0,21.01,51.087,44.038,211.102,14.032,24.023,124.037,99.208,21.115,94.331,48.05,42.14,307.077,86.057,14.013,22.07,33.115,66.143,90.037,49.982,350.93,146.986,102.994,61.95,205.905,72.996,878.762,251.723,46.994,39.974,439.882,69.227,9.03,58.234,20.071
1990-01-17,878.053,1910.156,141.2,48.004,217.015,67.005,17.004,90.033,47.0,21.01,51.1,44.044,211.103,14.036,24.024,124.038,99.21,21.118,94.348,48.065,42.149,307.106,86.06,14.014,22.072,33.119,66.154,90.038,49.982,350.925,146.986,102.993,61.949,205.903,72.996,878.729,251.696,46.994,39.973,439.866,69.242,9.037,58.236,20.071
1990-01-18,878.578,1910.181,141.204,48.005,217.015,67.005,17.005,90.035,47.0,21.01,51.107,44.044,211.118,14.039,24.026,124.04,99.215,21.123,94.398,48.068,42.162,307.111,86.083,14.014,22.073,33.122,66.168,90.042,49.982,350.921,146.984,102.993,61.948,205.899,72.996,878.719,251.696,46.994,39.972,439.866,69.284,9.044,58.238,20.077
1990-01-19,878.991,1910.205,141.211,48.007,217.021,67.005,17.005,90.039,47.0,21.011,51.125,44.045,211.121,14.04,24.026,124.041,99.231,21.125,94.434,48.07,42.163,307.166,86.084,14.015,22.074,33.124,66.172,90.042,49.975,350.917,146.984,102.992,61.947,205.894,72.996,878.708,251.68,46.993,39.972,439.864,69.298,9.045,58.248,20.082
1990-01-20,879.12,1910.211,141.211,48.007,217.021,67.005,17.005,90.04,47.0,21.012,51.128,44.048,211.131,14.042,24.026,124.044,99.239,21.14,94.446,48.071,42.165,307.312,86.089,14.016,22.079,33.126,66.173,90.047,49.974,350.913,146.981,102.992,61.946,205.89,72.996,878.7,251.678,46.993,39.97,439.862,69.327,9.047,58.27,20.084
1990-01-21,879.323,1910.213,141.251,48.007,217.021,67.005,17.006,90.044,47.0,21.014,51.128,44.048,211.131,14.045,24.027,124.045,99.245,21.144,94.511,48.074,42.169,307.346,86.089,14.016,22.08,33.131,66.186,90.047,49.97,350.912,146.98,102.992,61.946,205.883,72.996,878.699,251.667,46.993,39.97,439.861,69.338,9.048,58.296,20.087
1990-01-22,879.38,1910.229,141.261,48.008,217.023,67.005,17.006,90.044,47.0,21.015,51.131,44.053,211.137,14.052,24.029,124.046,99.26,21.155,94.516,48.087,42.174,307.412,86.092,14.016,22.091,33.134,66.19,90.048,49.97,350.906,146.979,102.992,61.938,205.881,72.995,878.694,251.665,46.993,39.97,439.86,69.375,9.049,58.31,20.088
1990-01-23,880.043,1910.244,141.281,48.008,217.023,67.006,17.006,90.044,47.0,21.015,51.141,44.054,211.149,14.052,24.03,124.05,99.272,21.161,94.527,48.088,42.185,307.431,86.092,14.016,22.092,33.136,66.216,90.06,49.97,350.903,146.979,102.991,61.936,205.879,72.995,878.642,251.661,46.992,39.969,439.858,69.408,9.051,58.317,20.091
1990-01-24,880.1,1910.269,141.283,48.008,217.023,67.006,17.007,90.044,47.0,21.015,51.167,44.055,211.154,14.059,24.03,124.054,99.274,21.17,94.544,48.089,42.185,307.514,86.095,14.018,22.101,33.138,66.234,90.067,49.969,350.902,146.979,102.991,61.934,205.878,72.994,878.635,251.639,46.992,39.969,439.852,69.413,9.052,58.323,20.092
1990-01-25,880.127,1910.271,141.285,48.008,217.024,67.006,17.007,90.047,47.0,21.015,51.173,44.057,211.156,14.061,24.031,124.059,99.294,21.172,94.573,48.097,42.188,307.592,86.098,14.019,22.102,33.141,66.241,90.067,49.969,350.881,146.978,102.99,61.931,205.866,72.994,878.629,251.629,46.992,39.966,439.847,69.427,9.052,58.348,20.098
1990-01-26,880.485,1910.272,141.289,48.008,217.025,67.006,17.007,90.047,47.0,21.016,51.179,44.062,211.165,14.065,24.031,124.061,99.296,21.173,94.593,48.103,42.197,307.631,86.104,14.02,22.103,33.149,66.246,90.069,49.969,350.867,146.978,102.989,61.93,205.859,72.994,878.625,251.626,46.992,39.965,439.839,69.442,9.054,58.357,20.103
1990-01-27,880.516,1910.302,141.3,48.008,217.026,67.007,17.007,90.05,47.0,21.016,51.188,44.063,211.165,14.07,24.032,124.061,99.299,21.18,94.637,48.104,42.233,307.642,86.111,14.02,22.108,33.149,66.252,90.074,49.967,350.866,146.978,102.989,61.927,205.857,72.994,878.606,251.612,46.992,39.963,439.83,69.464,9.066,58.366,20.109
1990-01-28,881.211,1910.309,141.317,48.009,217.026,67.007,17.007,90.051,47.0,21.017,51.193,44.064,211.167,14.072,24.033,124.062,99.3,21.181,94.663,48.107,42.239,307.776,86.116,14.021,22.108,33.151,66.257,90.077,49.965,350.862,146.973,102.988,61.927,205.856,72.994,878.603,251.602,46.991,39.963,439.826,69.478,9.067,58.4,20.121
1990-01-29,881.876,1910.331,141.323,48.009,217.027,67.008,17.007,90.053,47.0,21.017,51.208,44.064,211.168,14.074,24.035,124.069,99.311,21.185,94.697,48.114,42.239,307.845,86.121,14.022,22.109,33.153,66.268,90.077,49.964,350.857,146.972,102.988,61.925,205.849,72.994,878.595,251.581,46.991,39.963,439.824,69.493,9.07,58.409,20.128
1990-01-30,882.025,1910.338,141.347,48.009,217.028,67.008,17.008,90.054,47.0,21.018,51.211,44.067,211.169,14.075,24.036,124.071,99.333,21.186,94.713,48.114,42.24,307.853,86.122,14.023,22.124,33.154,66.276,90.078,49.964,350.843,146.972,102.987,61.925,205.848,72.994,878.584,251.562,46.991,39.961,439.817,69.5,9.071,58.426,20.129
1990-01-31,882.173,1910.341,141.351,48.009,217.029,67.008,17.008,90.054,47.0,21.019,51.218,44.068,211.169,14.076,24.036,124.074,99.338,21.189,94.745,48.123,42.241,307.872,86.123,14.024,22.131,33.158,66.329,90.079,49.963,350.837,146.971,102.987,61.923,205.846,72.993,878.579,251.524,46.991,39.96,439.816,69.51,9.082,58.436,20.141
1990-02-01,882.389,1910.348,141.382,48.009,217.031,67.009,17.008,90.055,47.0,21.02,51.219,44.068,211.173,14.077,24.038,124.074,99.35,21.194,94.752,48.13,42.244,307.932,86.128,14.026,22.135,33.159,66.336,90.081,49.962,350.836,146.971,102.987,61.921,205.844,72.993,878.561,251.506,46.991,39.957,439.814,69.555,9.083,58.438,20.141
1990-02-02,883.0,1910.411,141.404,48.009,217.031,67.009,17.008,90.055,47.0,21.02,51.22,44.07,211.175,14.082,24.039,124.076,99.35,21.2,94.77,48.136,42.265,307.962,86.143,14.026,22.135,33.16,66.341,90.084,49.962,350.835,146.97,102.987,61.919,205.841,72.993,878.56,251.421,46.99,39.956,439.812,69.558,9.084,58.45,20.142
1990-02-03,883.168,1910.428,141.42,48.01,217.031,67.009,17.008,90.056,47.0,21.021,51.224,44.08,211.176,14.082,24.039,124.092,99.364,21.201,94.801,48.139,42.279,307.996,86.144,14.026,22.135,33.164,66.341,90.087,49.96,350.828,146.969,102.986,61.916,205.832,72.993,878.548,251.41,46.99,39.956,439.809,69.569,9.09,58.463,20.146
1990-02-04,883.434,1910.43,141.446,48.011,217.031,67.01,17.009,90.061,47.0,21.022,51.233,44.081,211.192,14.084,24.041,124.093,99.382,21.205,94.806,48.146,42.283,308.034,86.15,14.026,22.136,33.169,66.361,90.087,49.957,350.808,146.968,102.986,61.911,205.821,72.993,878.541,251.383,46.99,39.956,439.807,69.579,9.091,58.464,20.147
1990-02-05,883.438,1910.437,141.47,48.011,217.032,67.011,17.009,90.062,47.0,21.022,51.236,44.081,211.201,14.084,24.042,124.095,99.395,21.208,94.813,48.148,42.284,308.091,86.151,14.028,22.137,33.171,66.361,90.088,49.957,350.806,146.966,102.985,61.91,205.812,72.993,878.527,251.378,46.99,39.955,439.805,69.58,9.104,58.472,20.152
1990-02-06,883.678,1910.444,141.484,48.012,217.032,67.011,17.009,90.064,47.0,21.023,51.237,44.084,211.201,14.087,24.043,124.099,99.415,21.22,94.817,48.154,42.293,308.116,86.158,14.029,22.138,33.174,66.368,90.1,49.955,350.793,146.965,102.984,61.907,205.809,72.993,878.514,251.376,46.989,39.955,439.79,69.592,9.112,58.499,20.156
1990-02-07,883.75,1910.447,141.492,48.012,217.032,67.011,17.009,90.064,47.0,21.024,51.243,44.086,211.201,14.088,24.05,124.099,99.421,21.251,94.883,48.161,42.297,308.134,86.158,14.029,22.139,33.181,66.369,90.101,49.954,350.788,146.964,102.983,61.906,205.808,72.993,878.513,251.364,46.989,39.954,439.781,69.594,9.113,58.531,20.164
1990-02-08,883.762,1910.454,141.493,48.013,217.032,67.011,17.01,90.066,47.0,21.026,51.245,44.086,211.204,14.089,24.053,124.104,99.427,21.256,94.909,48.17,42.297,308.154,86.162,14.029,22.141,33.182,66.374,90.107,49.953,350.787,146.963,102.982,61.903,205.805,72.992,878.51,251.345,46.989,39.953,439.757,69.595,9.114,58.533,20.165
1990-02-09,883.817,1910.462,141.517,48.013,217.033,67.011,17.01,90.066,47.0,21.026,51.27,44.088,211.204,14.091,24.055,124.11,99.428,21.257,94.918,48.176,42.298,308.222,86.168,14.029,22.142,33.184,66.376,90.11,49.951,350.782,146.962,102.982,61.903,205.799,72.992,878.507,251.344,46.989,39.953,439.738,69.597,9.129,58.537,20.167
1990-02-10,883.849,1910.479,141.541,48.013,217.033,67.012,17.01,90.067,47.0,21.027,51.271,44.096,211.219,14.093,24.057,124.112,99.446,21.257,94.92,48.178,42.3,308.263,86.176,14.03,22.143,33.186,66.392,90.113,49.951,350.773,146.961,102.982,61.902,205.791,72.992,878.473,251.343,46.989,39.953,439.737,69.617,9.131,58.553,20.18
1990-02-11,884.133,1910.495,141.549,48.013,217.033,67.012,17.01,90.068,47.0,21.027,51.271,44.1,211.225,14.099,24.058,124.121,99.463,21.261,94.953,48.184,42.308,308.278,86.177,14.03,22.145,33.187,66.401,90.115,49.949,350.771,146.961,102.981,61.899,205.791,72.992,878.454,251.326,46.989,39.951,439.734,69.629,9.134,58.564,20.182
1990-02-12,884.294,1910.5,141.56,48.013,217.034,67.012,17.01,90.073,47.0,21.028,51.279,44.112,211.227,14.1,24.062,124.123,99.464,21.265,94.989,48.185,42.311,308.3,86.181,14.031,22.146,33.197,66.416,90.119,49.948,350.762,146.961,102.981,61.897,205.791,72.991,878.44,251.316,46.989,39.949,439.732,69.693,9.134,58.574,20.185
1990-02-13,884.497,1910.505,141.569,48.013,217.036,67.012,17.011,90.073,47.0,21.028,51.286,44.118,211.243,14.102,24.067,124.124,99.467,21.27,94.995,48.194,42.332,308.31,86.188,14.031,22.148,33.212,66.424,90.127,49.945,350.761,146.96,102.98,61.895,205.786,72.991,878.427,251.282,46.989,39.947,439.732,69.718,9.135,58.578,20.185
1990-02-14,884.596,1910.516,141.603,48.014,217.036,67.013,17.011,90.076,47.0,21.03,51.293,44.121,211.246,14.102,24.068,124.127,99.469,21.271,95.012,48.2,42.333,308.352,86.189,14.032,22.15,33.213,66.425,90.13,49.945,350.754,146.959,102.98,61.894,205.783,72.991,878.406,251.279,46.989,39.947,439.721,69.744,9.136,58.609,20.186
1990-02-15,884.647,1910.519,141.642,48.014,217.038,67.013,17.011,90.08,47.0,21.03,51.294,44.122,211.252,14.113,24.068,124.127,99.469,21.275,95.035,48.205,42.337,308.419,86.195,14.032,22.158,33.214,66.435,90.139,49.944,350.751,146.958,102.979,61.891,205.783,72.991,878.36,251.257,46.988,39.947,439.714,69.778,9.14,58.635,20.194
1990-02-16,885.136,1910.531,141.659,48.014,217.038,67.014,17.011,90.081,47.0,21.031,51.296,44.123,211.252,14.114,24.071,124.127,99.477,21.275,95.046,48.22,42.352,308.552,86.201,14.033,22.159,33.219,66.451,90.143,49.942,350.75,146.954,102.979,61.889,205.768,72.99,878.347,251.25,46.988,39.946,439.709,69.781,9.14,58.667,20.194
1990-02-17,885.152,1910.555,141.662,48.014,217.04,67.014,17.012,90.081,47.0,21.031,51.303,44.127,211.259,14.119,24.071,124.127,99.482,21.277,95.054,48.221,42.367,308.562,86.209,14.034,22.162,33.234,66.461,90.144,49.942,350.748,146.954,102.978,61.887,205.768,72.99,878.343,251.242,46.987,39.946,439.709,69.786,9.14,58.68,20.197
1990-02-18,885.745,1910.567,141.683,48.015,217.04,67.014,17.012,90.082,47.0,21.032,51.304,44.127,211.26,14.122,24.071,124.129,99.499,21.29,95.085,48.236,42.389,308.62,86.212,14.034,22.163,33.238,66.464,90.145,49.941,350.747,146.954,102.978,61.885,205.767,72.989,878.341,251.234,46.987,39.945,439.705,69.818,9.142,58.68,20.2
1990-02-19,885.806,1910.581,141.718,48.015,217.04,67.014,17.012,90.083,47.0,21.033,51.332,44.134,211.272,14.123,24.072,124.134,99.511,21.291,95.1,48.237,42.394,308.624,86.215,14.035,22.167,33.242,66.467,90.146,49.94,350.742,146.953,102.977,61.882,205.761,72.989,878.339,251.233,46.987,39.944,439.702,69.843,9.145,58.681,20.21
1990-02-20,885.918,1910.596,141.719,48.016,217.045,67.014,17.012,90.084,47.0,21.033,51.341,44.138,211.28,14.126,24.073,124.134,99.521,21.293,95.1,48.241,42.398,308.687,86.225,14.035,22.169,33.252,66.509,90.155,49.939,350.741,146.953,102.977,61.877,205.755,72.989,878.319,251.214,46.987,39.944,439.698,69.846,9.15,58.683,20.211
1990-02-21,886.238,1910.607,141.738,48.016,217.046,67.015,17.012,90.084,47.0,21.034,51.341,44.141,211.288,14.129,24.073,124.135,99.525,21.294,95.133,48.244,42.406,308.804,86.234,14.036,22.17,33.252,66.517,90.162,49.939,350.735,146.953,102.977,61.876,205.75,72.989,878.313,251.207,46.987,39.943,439.698,69.893,9.153,58.688,20.212
1990-02-22,886.377,1910.616,141.748,48.016,217.046,67.015,17.012,90.085,47.0,21.035,51.354,44.141,211.291,14.132,24.075,124.135,99.53,21.295,95.138,48.248,42.426,308.82,86.239,14.036,22.172,33.257,66.519,90.162,49.937,350.734,146.952,102.977,61.875,205.747,72.988,878.276,251.201,46.987,39.943,439.692,69.898,9.162,58.699,20.212
1990-02-23,886.946,1910.624,141.757,48.016,217.046,67.016,17.013,90.088,47.0,21.035,51.363,44.142,211.297,14.14,24.077,124.136,99.537,21.296,95.14,48.251,42.427,309.063,86.248,14.037,22.176,33.258,66.52,90.163,49.937,350.729,146.952,102.976,61.874,205.74,72.988,878.27,251.163,46.986,39.942,439.684,69.942,9.164,58.728,20.212
1990-02-24,887.274,1910.624,141.761,48.016,217.047,67.016,17.013,90.089,47.0,21.036,51.37,44.148,211.304,14.144,24.077,124.138,99.563,21.298,95.146,48.252,42.429,309.081,86.248,14.037,22.178,33.269,66.524,90.163,49.937,350.728,146.952,102.976,61.87,205.73,72.988,878.252,251.145,46.986,39.941,439.681,69.957,9.165,58.764,20.217
1990-02-25,887.366,1910.626,141.766,48.017,217.047,67.016,17.013,90.089,47.0,21.036,51.381,44.151,211.319,14.147,24.082,124.139,99.571,21.306,95.167,48.256,42.436,309.09,86.25,14.038,22.179,33.282,66.53,90.172,49.936,350.719,146.951,102.976,61.869,205.721,72.988,878.237,251.115,46.985,39.941,439.677,69.971,9.167,58.766,20.218
1990-02-26,887.466,1910.644,141.824,48.017,217.047,67.017,17.014,90.09,47.0,21.038,51.4,44.157,211.329,14.151,24.084,124.139,99.592,21.309,95.19,48.258,42.439,309.312,86.253,14.038,22.18,33.283,66.537,90.175,49.936,350.706,146.951,102.975,61.868,205.709,72.988,878.227,251.107,46.985,39.939,439.668,69.977,9.168,58.772,20.219
1990-02-27,887.687,1910.647,141.839,48.017,217.049,67.017,17.014,90.091,47.0,21.038,51.403,44.158,211.342,14.152,24.084,124.139,99.598,21.32,95.19,48.272,42.441,309.319,86.269,14.039,22.182,33.296,66.563,90.177,49.936,350.703,146.95,102.975,61.863,205.703,72.987,878.213,251.071,46.985,39.939,439.664,69.984,9.168,58.786,20.22
1990-02-28,887.695,1910.676,141.85,48.018,217.049,67.017,17.015,90.093,47.0,21.038,51.408,44.158,211.347,14.156,24.085,124.145,99.6,21.323,95.2,48.273,42.444,309.327,86.272,14.039,22.183,33.296,66.569,90.18,49.935,350.69,146.95,102.974,61.86,205.693,72.987,878.19,251.048,46.985,39.938,439.661,69.987,9.171,58.793,20.254
1990-03-01,887.976,1910.677,141.889,48.018,217.05,67.017,17.016,90.095,47.0,21.04,51.414,44.161,211.358,14.157,24.085,124.148,99.603,21.327,95.24,48.276,42.458,309.385,86.273,14.04,22.188,33.31,66.572,90.183,49.934,350.672,146.948,102.973,61.858,205.689,72.987,878.187,251.025,46.985,39.937,439.659,69.99,9.173,58.796,20.259
1990-03-02,888.068,1910.68,141.9,48.018,217.054,67.018,17.017,90.098,47.0,21.04,51.441,44.161,211.361,14.159,24.085,124.153,99.604,21.333,95.245,48.282,42.458,309.428,86.277,14.04,22.197,33.314,66.581,90.185,49.934,350.668,146.947,102.972,61.857,205.679,72.987,878.181,251.024,46.984,39.936,439.658,70.016,9.174,58.798,20.262
1990-03-03,888.558,1910.687,141.918,48.018,217.056,67.018,17.017,90.1,47.0,21.04,51.451,44.161,211.37,14.16,24.086,124.154,99.619,21.36,95.253,48.3,42.468,309.484,86.282,14.04,22.198,33.315,66.589,90.185,49.932,350.658,146.946,102.972,61.856,205.67,72.987,878.175,251.009,46.984,39.936,439.655,70.019,9.174,58.806,20.267
1990-03-04,888.689,1910.689,141.936,48.018,217.056,67.018,17.017,90.102,47.0,21.041,51.46,44.163,211.371,14.165,24.086,124.154,99.633,21.362,95.255,48.302,42.48,309.534,86.284,14.04,22.202,33.319,66.592,90.186,49.932,350.645,146.945,102.972,61.849,205.669,72.986,878.153,251.007,46.984,39.933,439.651,70.059,9.175,58.817,20.269
1990-03-05,888.883,1910.691,141.937,48.018,217.056,67.018,17.017,90.104,47.0,21.041,51.464,44.165,211.388,14.172,24.087,124.157,99.66,21.365,95.269,48.31,42.485,309.6,86.284,14.041,22.204,33.329,66.597,90.187,49.93,350.641,146.945,102.972,61.847,205.668,72.986,878.15,251.007,46.984,39.931,439.651,70.112,9.178,58.827,20.281
1990-03-06,889.235,1910.695,141.938,48.019,217.057,67.019,17.017,90.105,47.0,21.041,51.466,44.176,211.388,14.172,24.088,124.158,99.698,21.377,95.277,48.313,42.492,309.61,86.288,14.041,22.211,33.334,66.621,90.194,49.929,350.63,146.944,102.971,61.844,205.667,72.985,878.147,250.943,46.983,39.931,439.649,70.113,9.179,58.828,20.283
1990-03-07,889.299,1910.705,141.948,48.019,217.057,67.019,17.017,90.105,47.0,21.042,51.47,44.185,211.391,14.174,24.09,124.161,99.702,21.393,95.299,48.321,42.495,309.716,86.291,14.041,22.217,33.339,66.631,90.196,49.929,350.629,146.943,102.971,61.84,205.662,72.985,878.114,250.942,46.983,39.929,439.648,70.113,9.184,58.839,20.295
1990-03-08,889.542,1910.707,141.966,48.019,217.058,67.02,17.017,90.107,47.0,21.042,51.472,44.185,211.399,14.174,24.091,124.162,99.714,21.394,95.309,48.324,42.506,309.925,86.293,14.041,22.219,33.34,66.645,90.199,49.925,350.623,146.942,102.971,61.835,205.651,72.985,878.099,250.929,46.983,39.929,439.648,70.137,9.184,58.847,20.302
1990-03-09,889.671,1910.722,141.97,48.019,217.059,67.021,17.018,90.107,47.0,21.042,51.481,44.191,211.401,14.176,24.092,124.163,99.717,21.398,95.31,48.327,42.508,310.122,86.296,14.041,22.231,33.342,66.652,90.21,49.923,350.62,146.942,102.971,61.832,205.651,72.985,878.092,250.918,46.983,39.928,439.645,70.142,9.186,58.849,20.302
1990-03-10,889.981,1910.74,141.972,48.02,217.06,67.021,17.018,90.111,47.0,21.042,51.49,44.195,211.402,14.184,24.093,124.164,99.718,21.402,95.329,48.327,42.512,310.242,86.296,14.042,22.237,33.344,66.659,90.212,49.923,350.616,146.941,102.97,61.831,205.647,72.985,878.084,250.917,46.982,39.924,439.643,70.144,9.187,58.872,20.305
1990-03-11,890.108,1910.762,141.976,48.02,217.061,67.021,17.018,90.111,47.0,21.042,51.516,44.195,211.41,14.184,24.094,124.166,99.728,21.416,95.349,48.331,42.517,310.318,86.297,14.042,22.238,33.356,66.669,90.217,49.922,350.609,146.941,102.97,61.828,205.646,72.985,878.079,250.91,46.982,39.924,439.641,70.149,9.189,58.91,20.311
1990-03-12,890.299,1910.767,141.986,48.02,217.061,67.022,17.019,90.111,47.0,21.042,51.528,44.196,211.429,14.185,24.095,124.175,99.749,21.419,95.373,48.348,42.519,310.32,86.3,14.043,22.238,33.361,66.69,90.218,49.922,350.608,146.94,102.969,61.825,205.643,72.985,878.079,250.904,46.981,39.92,439.627,70.153,9.19,58.916,20.32
1990-03-13,890.377,1910.768,141.991,48.02,217.062,67.022,17.019,90.111,47.0,21.043,51.531,44.196,211.445,14.189,24.096,124.18,99.75,21.42,95.384,48.349,42.552,310.459,86.301,14.044,22.239,33.37,66.691,90.219,49.922,350.604,146.94,102.969,61.819,205.642,72.984,878.067,250.901,46.981,39.919,439.62,70.158,9.191,58.921,20.327
1990-03-14,891.201,1910.778,141.992,48.02,217.062,67.022,17.019,90.112,47.0,21.044,51.558,44.196,211.474,14.19,24.097,124.182,99.753,21.431,95.401,48.354,42.552,310.464,86.308,14.045,22.242,33.375,66.695,90.22,49.922,350.594,146.939,102.968,61.818,205.641,72.984,878.066,250.887,46.981,39.918,439.618,70.161,9.196,58.924,20.329
